Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1971-01-04,4.318,4.318,4.318,4.318
1971-01-05,4.3117,4.3117,4.3117,4.3117
1971-01-06,4.3114,4.3114,4.3114,4.3114
1971-01-07,4.3103,4.3103,4.3103,4.3103
1971-01-08,4.311,4.311,4.311,4.311
1971-01-11,4.3104,4.3104,4.3104,4.3104
1971-01-12,4.3098,4.3098,4.3098,4.3098
1971-01-13,4.3097,4.3097,4.3097,4.3097
1971-01-14,4.3094,4.3094,4.3094,4.3094
1971-01-15,4.3075,4.3075,4.3075,4.3075
1971-01-18,4.3028,4.3028,4.3028,4.3028
1971-01-19,4.3007,4.3007,4.3007,4.3007
1971-01-20,4.3011,4.3011,4.3011,4.3011
1971-01-21,4.3018,4.3018,4.3018,4.3018
1971-01-22,4.2998,4.2998,4.2998,4.2998
1971-01-25,4.3006,4.3006,4.3006,4.3006
1971-01-26,4.2988,4.2988,4.2988,4.2988
1971-01-27,4.2973,4.2973,4.2973,4.2973
1971-01-28,4.2977,4.2977,4.2977,4.2977
1971-01-29,4.2961,4.2961,4.2961,4.2961
1971-02-01,4.2966,4.2966,4.2966,4.2966
1971-02-02,4.2968,4.2968,4.2968,4.2968
1971-02-03,4.2964,4.2964,4.2964,4.2964
1971-02-04,4.2964,4.2964,4.2964,4.2964
1971-02-05,4.2967,4.2967,4.2967,4.2967
1971-02-08,4.2977,4.2977,4.2977,4.2977
1971-02-09,4.2967,4.2967,4.2967,4.2967
1971-02-10,4.2971,4.2971,4.2971,4.2971
1971-02-11,4.2966,4.2966,4.2966,4.2966
1971-02-16,4.2967,4.2967,4.2967,4.2967
1971-02-17,4.2967,4.2967,4.2967,4.2967
1971-02-18,4.2965,4.2965,4.2965,4.2965
1971-02-19,4.2965,4.2965,4.2965,4.2965
1971-02-22,4.2959,4.2959,4.2959,4.2959
1971-02-23,4.2957,4.2957,4.2957,4.2957
1971-02-24,4.3013,4.3013,4.3013,4.3013
1971-02-25,4.3075,4.3075,4.3075,4.3075
1971-02-26,4.3073,4.3073,4.3073,4.3073
1971-03-01,4.3071,4.3071,4.3071,4.3071
1971-03-02,4.3051,4.3051,4.3051,4.3051
1971-03-03,4.3037,4.3037,4.3037,4.3037
1971-03-04,4.307,4.307,4.307,4.307
1971-03-05,4.3067,4.3067,4.3067,4.3067
1971-03-08,4.302,4.302,4.302,4.302
1971-03-09,4.3012,4.3012,4.3012,4.3012
1971-03-10,4.3041,4.3041,4.3041,4.3041
1971-03-11,4.3013,4.3013,4.3013,4.3013
1971-03-12,4.3011,4.3011,4.3011,4.3011
1971-03-15,4.3006,4.3006,4.3006,4.3006
1971-03-16,4.3004,4.3004,4.3004,4.3004
1971-03-17,4.2997,4.2997,4.2997,4.2997
1971-03-18,4.2984,4.2984,4.2984,4.2984
1971-03-19,4.2971,4.2971,4.2971,4.2971
1971-03-22,4.2969,4.2969,4.2969,4.2969
1971-03-23,4.297,4.297,4.297,4.297
1971-03-24,4.2966,4.2966,4.2966,4.2966
1971-03-25,4.2971,4.2971,4.2971,4.2971
1971-03-26,4.2957,4.2957,4.2957,4.2957
1971-03-29,4.2964,4.2964,4.2964,4.2964
1971-03-30,4.2957,4.2957,4.2957,4.2957
1971-03-31,4.2953,4.2953,4.2953,4.2953
1971-04-01,4.2953,4.2953,4.2953,4.2953
1971-04-02,4.2945,4.2945,4.2945,4.2945
1971-04-05,4.2969,4.2969,4.2969,4.2969
1971-04-06,4.2975,4.2975,4.2975,4.2975
1971-04-07,4.2962,4.2962,4.2962,4.2962
1971-04-08,4.2935,4.2935,4.2935,4.2935
1971-04-09,4.2953,4.2953,4.2953,4.2953
1971-04-12,4.2972,4.2972,4.2972,4.2972
1971-04-13,4.3018,4.3018,4.3018,4.3018
1971-04-14,4.3022,4.3022,4.3022,4.3022
1971-04-15,4.299,4.299,4.299,4.299
1971-04-16,4.3021,4.3021,4.3021,4.3021
1971-04-19,4.305,4.305,4.305,4.305
1971-04-20,4.3037,4.3037,4.3037,4.3037
1971-04-21,4.3006,4.3006,4.3006,4.3006
1971-04-22,4.2993,4.2993,4.2993,4.2993
1971-04-23,4.3023,4.3023,4.3023,4.3023
1971-04-26,4.3007,4.3007,4.3007,4.3007
1971-04-27,4.2989,4.2989,4.2989,4.2989
1971-04-28,4.2956,4.2956,4.2956,4.2956
1971-04-29,4.2956,4.2956,4.2956,4.2956
1971-04-30,4.2959,4.2959,4.2959,4.2959
1971-05-03,4.2954,4.2954,4.2954,4.2954
1971-05-04,4.2951,4.2951,4.2951,4.2951
1971-05-05,4.1839,4.1839,4.1839,4.1839
1971-05-06,4.1665,4.1665,4.1665,4.1665
1971-05-07,4.1375,4.1375,4.1375,4.1375
1971-05-10,4.1075,4.1075,4.1075,4.1075
1971-05-11,4.1163,4.1163,4.1163,4.1163
1971-05-12,4.1094,4.1094,4.1094,4.1094
1971-05-13,4.0949,4.0949,4.0949,4.0949
1971-05-14,4.0949,4.0949,4.0949,4.0949
